Horizon,Parameter,MAE,RMSE,R2_Score,Accuracy(%)
1hr,Temperature,0.37473712511803275,0.5375695957499169,0.9887891500003373,98.87891500003373
1hr,Humidity,2.01106467151895,3.291236030746765,0.9728173065300344,97.28173065300344
1hr,Wind_Speed,0.25005236247010254,0.35191997940981123,0.9451253126405953,94.51253126405953
1hr,WindDir_sin,0.0846784185520449,0.14739403637927054,0.9586996562562033,95.86996562562034
1hr,WindDir_cos,0.09542037624949083,0.15477435992498645,0.9477519690585409,94.77519690585409
1hr,Rainfall,1.1637785326827463,4.511097199611122,0.8694327676490671,86.94327676490671
1hr,Solar_Radiation,21.801959512094335,51.85463560918888,0.9900317386800809,99.00317386800809
4hr,Temperature,0.34943480827280876,0.4870727785301243,0.9906413447884388,99.06413447884388
4hr,Humidity,1.9357449902597959,3.18096362013366,0.9748732077569233,97.48732077569233
4hr,Wind_Speed,0.26925856777714086,0.3997990318888394,0.9271484442282194,92.71484442282194
4hr,WindDir_sin,0.08566586950653701,0.16223039008078707,0.9502823615114326,95.02823615114326
4hr,WindDir_cos,0.1000217183338707,0.1720177684999376,0.9348700039645158,93.48700039645158
4hr,Rainfall,1.10538595524138,4.3127593549637675,0.8702407225550182,87.02407225550182
4hr,Solar_Radiation,21.151870788513698,57.18597186450428,0.9877116536607098,98.77116536607097
24hr,Temperature,0.38266360922893566,0.5338580081212866,0.9886334017889684,98.86334017889683
24hr,Humidity,2.162777704331189,3.659605181671085,0.9665724533319868,96.65724533319869
24hr,Wind_Speed,0.25063970982710376,0.3562697726380778,0.943171230121774,94.31712301217739
24hr,WindDir_sin,0.08724517154857932,0.15645881394876027,0.9535476648821389,95.3547664882139
24hr,WindDir_cos,0.1014964714746331,0.16455107602197197,0.93983907655409,93.983907655409
24hr,Rainfall,1.3487291009493731,4.919166868362499,0.8247049712212463,82.47049712212463
24hr,Solar_Radiation,20.350916082115457,47.268234979017315,0.9915726272518842,99.15726272518842
